_order,profession_label,_profession_education,group,P10,median,mean,P90,income_range_perc,income_range_kr,lifesalary,baseline,baseline_lifesalary,lifesalary_vs_baseline,baseline_diff
1,Förskollärare,Förskollärarutbildning,education,24800,28000,29147,33820,1.363709677,9020,14486467,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.889,-1805294
2,Grundlärare (årskurs1-6),Lärarutbildning mot grundskolans tidiga år,education,24800,29000,30277,36670,1.478629032,11870,15215979,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.934,-1075782
3,Ämneslärare (årskurs 7-9/gymnasiet),Lärarutbildning mot grundskolans senare år eller gymnasium,education,26172,30827,32659,40800,1.558917928,14628,15802427,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.970,-489334
4,Lärare i praktisk-estetiska ämnen,Lärarutbildning i praktiskt-estetiskt ämne,education,26090,30840,32324,39050,1.496742047,12960,15502843,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.952,-788918
5,Yrkeslärare,Yrkeslärarutbildning,education,27200,32850,34569,43000,1.580882353,15800,15940028,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.978,-351733
6,Humanistisk,Humanistisk utbildning,humanities,22560,29300,32075,44071,1.953501773,21511,15647784,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.960,-643977
7,Konstnärlig,Konstnärlig utbildning,humanities,23133,30595,32043,41400,1.789651148,18267,14649528,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.899,-1642233
8,Teologisk,Teologisk utbildning,,25829,36875,38179,51466,1.992566495,25637,17089913,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.049,798152
9,Biblioteks-/informationsvetenskaplig,Biblioteks-/informationsvetenskaplig utbildning,humanities,25230,29202,30699,37700,1.494252874,12470,14858653,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.912,-1433108
10,Ekonom,Ekonomiutbildning,,26501,41862,50636,79419,2.996830308,52918,23475469,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.441,7183708
11,Personal-/beteendevetenskaplig,Personal-/beteendevetenskaplig utbildning,,24149,31139,35686,51950,2.151227794,27801,17892968,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.098,1601207
12,Jurist,Juristutbildning,,27300,44409,51936,82000,3.003663004,54700,23632857,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.451,7341096
13,Journalistik/medievetenskaplig,Journalistik-/medievetenskaplig utbildning,,23400,31495,33672,46001,1.965854701,22601,17804413,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.093,1512652
14,Psykolog,Psykologutbildning,,29000,36000,36634,42443,1.463551724,13443,17345935,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.065,1054174
15,Samhällsvetenskap/förvaltning,Samhällsvetar-/förvaltningsutbildning,,24911,35650,40844,60924,2.445666573,36013,19159257,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.176,2867496
16,Biolog,Biologiutbildning,,23800,30300,32460,43862,1.842941176,20062,16299375,naturvetenskapligt gymnasieutbildad,17151600,0.950,-852225
17,Systemvetenskaplig,Systemvetenskaplig utbildning,,27816,40500,42828,58692,2.110008628,30876,19964309,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,1.225,3672548
18,Fysiker,Fysikerutbildning,,24156,36094,38964,57200,2.367941712,33044,18296718,naturvetenskapligt gymnasieutbildad,17151600,1.067,1145118
19,Geovetenskaplig,Geovetenskaplig utbildning,,24000,33200,35698,49006,2.041916667,25006,17186914,naturvetenskapligt gymnasieutbildad,17151600,1.002,35314
20,Kemist,Kemistutbildning,,25550,35682,37814,52450,2.052837573,26900,17408755,naturvetenskapligt gymnasieutbildad,17151600,1.015,257155
21,Matematiker/statistiker,Matematiker-/statistikerutbildning,,25100,39015,43767,64473,2.568645418,39373,20254397,naturvetenskapligt gymnasieutbildad,17151600,1.181,3102797
22,Arkitekt,Arkitektutbildning,,28600,39600,41666,56700,1.982517483,28100,18596438,naturvetenskapligt gymnasieutbildad,17151600,1.084,1444838
23,Civilingenjör,Civilingenjörsutbildning,,31351,46399,51216,72620,2.316353545,41269,23065174,naturvetenskapligt gymnasieutbildad,17151600,1.345,5913574
24,Högskoleingenjör,Högskoleingenjörsutbildning,,27795,37307,39411,52850,1.901421119,25055,19139391,naturvetenskapligt gymnasieutbildad,17151600,1.116,1987791
25,Agronom/hortonom,Agronom/hortonomutbildning,,25923,35400,41307,58300,2.248968098,32377,18639551,naturvetenskapligt gymnasieutbildad,17151600,1.087,1487951
26,Veterinär,Veterinärutbildning,,22794,39557,40665,58450,2.564271299,35656,19222953,naturvetenskapligt gymnasieutbildad,17151600,1.121,2071353
27,Apotekare,Apotekarutbildning,,30184,38100,41265,55360,1.834084283,25176,19941652,naturvetenskapligt gymnasieutbildad,17151600,1.163,2790052
28,Arbetsterapeut,Arbetsterapeututbildning,healthcare,24551,28400,29219,34100,1.38894546,9549,14740896,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.905,-1550865
29,Biomedicinsk analytiker,Biomedicinsk analytikerutbildning,,24979,29908,31308,38512,1.541775091,13533,15375115,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.944,-916646
30,Läkare,Läkarutbildning,,35000,64000,61979,85055,2.430142857,50055,26070964,naturvetenskapligt gymnasieutbildad,17151600,1.520,8919364
31,Receptarie,Receptarieutbildning,,27660,32800,34463,43102,1.558279103,15442,16663002,naturvetenskapligt gymnasieutbildad,17151600,0.972,-488598
32,Fysioterapeut,Fysioterapeututbildning,healthcare,24000,28751,30300,38000,1.583333333,14000,15272251,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.937,-1019510
33,Sjuksköterska,Sjuksköterskeutbildning,healthcare,25502,29550,30649,36942,1.448592267,11440,15860318,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.974,-431443
34,Social omsorg,Social omsorgsutbildning,social,23584,29850,31791,41300,1.751187246,17716,15497999,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.951,-793762
35,Socionom,Socionomutbildning,social,25451,30300,32247,40550,1.593257632,15099,16126312,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.990,-165449
36,Tandhygienist,Tandhygienistutbildning,,24300,29470,29709,34577,1.422921811,10277,14625883,samhällsvetenskapligt/naturvetenskapligt gymnasieutbildad,16291761,0.898,-1665878
37,Tandläkare,Tandläkarutbildning,,31000,44152,46138,63681,2.054225806,32681,20250759,naturvetenskapligt gymnasieutbildad,17151600,1.181,3099159
38,"Akademiker, totalt",Genomsnittlig akademiker,,25784,33900,39676,59672,2.314303444,33888,19022945,genomsnittlig gymnasieutbildad,16399390,1.160,2623555